invoice_date,order_id,net_sales,cogs,region,category
2023-03-06,ORD-00064,6140.24,2976.39,North,Electronics
2023-03-07,ORD-00065,1416.61,1455.21,East,Grocery
2023-03-08,ORD-00066,14093.89,5260.52,North,Grocery
2023-03-09,ORD-00067,9587.6,10821.06,West,Electronics
2023-03-10,ORD-00068,20829.85,12149.99,North,Electronics
2023-03-11,ORD-00069,20302.16,14981.4,North,Grocery
2023-03-12,ORD-00070,8269.9,4586.16,West,Grocery
2023-03-13,ORD-00071,23846.04,6237.54,West,Apparel
2023-03-14,ORD-00072,7627.49,2224.95,North,Grocery
2023-03-15,ORD-00073,13118.9,8708.1,East,Apparel
2023-03-16,ORD-00074,6771.14,14964.18,South,Grocery
2023-03-17,ORD-00075,23433.07,10573.04,South,Electronics
2023-03-18,ORD-00076,4532.89,9009.15,South,Electronics
2023-03-19,ORD-00077,1600.31,6007.06,South,Apparel
2023-03-20,ORD-00078,11159.88,13746.42,North,Grocery
2023-03-21,ORD-00079,24813.2,7554.37,South,Electronics
2023-03-22,ORD-00080,22346.09,2188.63,North,Grocery
2023-03-23,ORD-00081,18840.9,5607.6,North,Apparel
2023-03-24,ORD-00082,22324.42,1194.07,South,Grocery
2023-03-25,ORD-00083,22389.44,3189.29,West,Electronics
2023-03-26,ORD-00084,13212.03,461.5,East,Electronics
2023-03-27,ORD-00085,8240.26,6908.54,South,Apparel
2023-03-28,ORD-00086,19414.3,9591.2,South,Apparel
2023-03-29,ORD-00087,16710.7,5280.73,East,Apparel
2023-03-30,ORD-00088,9654.61,6421.65,West,Apparel
2023-03-31,ORD-00089,2814.43,14396.3,East,Electronics
2023-04-01,ORD-00090,18796.35,11329.05,East,Electronics
2023-04-02,ORD-00091,6930.28,8204.68,East,Electronics
2023-04-03,ORD-00092,23451.92,4411.2,East,Electronics
2023-04-04,ORD-00093,6403.78,13475.55,South,Apparel
2023-04-05,ORD-00094,3507.57,3679.44,South,Apparel
2023-04-06,ORD-00095,20862.26,5015.07,South,Electronics
2023-04-07,ORD-00096,4255.47,13654.16,North,Apparel
2023-04-08,ORD-00097,4892.07,8037.22,West,Grocery
2023-04-09,ORD-00098,15184.88,11186.31,West,Electronics
2023-04-10,ORD-00099,21926.77,8943.02,East,Apparel
2023-04-11,ORD-00100,5312.65,9870.9,North,Apparel
2023-04-12,ORD-00101,8102.93,4630.87,South,Grocery
2023-04-13,ORD-00102,19546.42,3772.31,North,Apparel
2023-04-14,ORD-00103,24309.75,4972.89,East,Grocery
2023-04-15,ORD-00104,12768.16,2500.54,South,Apparel
2023-04-16,ORD-00105,4025.49,13139.85,North,Grocery
2023-04-17,ORD-00106,841.44,4392.05,West,Apparel
2023-04-18,ORD-00107,6126.57,8510.04,East,Electronics
2023-04-19,ORD-00108,3729.64,11921.22,East,Electronics
2023-04-20,ORD-00109,17102.64,11800.6,North,Apparel
2023-04-21,ORD-00110,3484.9,6688.12,South,Electronics
2023-04-22,ORD-00111,12905.08,7248.61,North,Electronics
2023-04-23,ORD-00112,17509.43,14921.59,South,Apparel
2023-04-24,ORD-00113,14737.36,10184.04,West,Electronics
2023-04-25,ORD-00114,5394.5,12256.65,South,Grocery
2023-04-26,ORD-00115,20201.05,13557.8,North,Electronics
2023-04-27,ORD-00116,18027.47,11856.33,West,Electronics
2023-04-28,ORD-00117,18605.11,2940.65,North,Apparel
2023-04-29,ORD-00118,3710.91,8520.13,North,Electronics
2023-04-30,ORD-00119,3531.97,1708.03,North,Electronics
2023-05-01,ORD-00120,23225.28,9863.25,North,Apparel
2023-05-02,ORD-00121,10240.67,14339.17,South,Apparel
2023-05-03,ORD-00122,7873.24,7788.43,East,Electronics
2023-05-04,ORD-00123,12470.31,6607.99,East,Apparel
2023-05-05,ORD-00124,16740.17,730.47,North,Grocery
2023-05-06,ORD-00125,23912.77,14404.66,North,Apparel
2023-05-07,ORD-00126,7517.93,1724.44,South,Electronics
2023-05-08,ORD-00127,23157.81,807.97,West,Apparel
2023-05-09,ORD-00128,1109.06,3841.79,West,Grocery
2023-05-10,ORD-00129,14102.35,1169.85,East,Apparel
2023-05-11,ORD-00130,16032.39,6935.74,South,Grocery
2023-05-12,ORD-00131,3094.49,7838.1,North,Apparel
2023-05-13,ORD-00132,3938.32,4826.04,North,Grocery
2023-05-14,ORD-00133,10768.3,954.22,North,Electronics
2023-05-15,ORD-00134,24172.68,1851.69,North,Apparel
2023-05-16,ORD-00135,15103.04,5890.66,East,Apparel
2023-05-17,ORD-00136,23359.07,1095.82,South,Electronics
2023-05-18,ORD-00137,20206.84,10533.21,East,Grocery
2023-05-19,ORD-00138,11950.85,3263.9,West,Grocery
2023-05-20,ORD-00139,19726.7,4670.66,West,Grocery
2023-05-21,ORD-00140,937.0,6033.06,South,Apparel
2023-05-22,ORD-00141,3174.03,6365.82,East,Apparel
2023-05-23,ORD-00142,20821.0,224.58,North,Electronics
2023-05-24,ORD-00143,20022.02,1858.64,North,Apparel
2023-05-25,ORD-00144,6199.7,12968.92,South,Grocery
2023-05-26,ORD-00145,13503.85,218.25,South,Apparel
2023-05-27,ORD-00146,15347.39,7720.88,West,Apparel
2023-05-28,ORD-00147,21759.6,7444.63,West,Grocery
2023-05-29,ORD-00148,15276.13,5129.79,West,Grocery
2023-05-30,ORD-00149,10608.0,6583.64,South,Grocery
2023-05-31,ORD-00150,9667.51,11752.6,South,Apparel
2023-06-01,ORD-00151,10934.11,12649.81,East,Grocery
2023-06-02,ORD-00152,16472.31,4053.16,North,Electronics
2023-06-03,ORD-00153,21753.52,4972.86,West,Grocery
2023-06-04,ORD-00154,11620.47,3788.75,West,Electronics
2023-06-05,ORD-00155,6572.07,7301.98,East,Grocery
2023-06-06,ORD-00156,6298.23,10312.22,West,Electronics
2023-06-07,ORD-00157,18777.35,3578.14,South,Electronics
2023-06-08,ORD-00158,20505.93,5094.89,South,Apparel
2023-06-09,ORD-00159,3079.31,13969.69,South,Electronics
2023-06-10,ORD-00160,2130.69,918.83,South,Grocery
2023-06-11,ORD-00161,15063.62,7019.39,North,Apparel
2023-06-12,ORD-00162,4081.24,10731.06,West,Apparel
2023-06-13,ORD-00163,20704.27,2426.72,North,Grocery
2023-06-14,ORD-00164,8103.2,901.14,West,Electronics
2023-06-15,ORD-00165,4024.86,2245.44,East,Apparel
2023-06-16,ORD-00166,23063.78,13798.58,East,Apparel
2023-06-17,ORD-00167,4555.53,337.04,North,Grocery
2023-06-18,ORD-00168,7475.64,2987.17,East,Electronics
2023-06-19,ORD-00169,4263.53,663.0,North,Electronics
2023-06-20,ORD-00170,3329.51,1837.32,South,Electronics
2023-06-21,ORD-00171,1018.13,9378.21,North,Electronics
2023-06-22,ORD-00172,1857.19,3776.26,North,Apparel
2023-06-23,ORD-00173,4778.72,8624.34,North,Electronics
2023-06-24,ORD-00174,1807.86,8934.89,North,Electronics
2023-06-25,ORD-00175,14983.02,12771.64,East,Apparel
2023-06-26,ORD-00176,17177.51,270.17,North,Apparel
2023-06-27,ORD-00177,10143.95,12829.87,South,Electronics
2023-06-28,ORD-00178,8290.78,9362.96,West,Grocery
2023-06-29,ORD-00179,12860.89,2608.6,East,Grocery
2023-06-30,ORD-00180,21937.62,11639.47,East,Grocery
2023-07-01,ORD-00181,21352.72,12861.27,North,Apparel
2023-07-02,ORD-00182,1565.14,3963.1,East,Apparel
2023-07-03,ORD-00183,4946.71,13798.15,West,Apparel
2023-07-04,ORD-00184,6300.25,6925.97,North,Electronics
2023-07-05,ORD-00185,6610.0,9130.68,South,Electronics
2023-07-06,ORD-00186,14495.2,14772.81,East,Grocery
2023-07-07,ORD-00187,10698.43,5550.73,South,Electronics
2023-07-08,ORD-00188,1706.73,12234.76,North,Grocery
2023-07-09,ORD-00189,9653.55,4912.31,East,Electronics
2023-07-10,ORD-00190,13331.95,12028.36,East,Apparel
2023-07-11,ORD-00191,2990.96,9090.86,East,Electronics
2023-07-12,ORD-00192,20919.73,3402.06,East,Electronics
2023-07-13,ORD-00193,1773.07,6327.59,East,Electronics
2023-07-14,ORD-00194,23158.63,4901.01,South,Electronics
2023-07-15,ORD-00195,2928.27,1356.0,North,Grocery
2023-07-16,ORD-00196,21167.59,641.55,West,Grocery
2023-07-17,ORD-00197,22615.0,5327.88,North,Apparel
2023-07-18,ORD-00198,24499.48,481.71,South,Electronics
2023-07-19,ORD-00199,20149.63,2649.22,West,Grocery
2023-07-20,ORD-00200,19597.2,10932.71,East,Grocery
2023-07-21,ORD-00201,16240.84,10679.75,South,Grocery
2023-07-22,ORD-00202,19585.41,11130.99,South,Apparel
2023-07-23,ORD-00203,3796.53,4893.87,West,Electronics
2023-07-24,ORD-00204,13633.67,13372.29,North,Grocery
2023-07-25,ORD-00205,13098.46,8988.69,West,Apparel
2023-07-26,ORD-00206,21510.52,2065.19,West,Apparel
2023-07-27,ORD-00207,11838.58,2327.04,West,Grocery
2023-07-28,ORD-00208,9934.69,10457.81,South,Grocery
2023-07-29,ORD-00209,16169.3,2759.57,East,Apparel
2023-07-30,ORD-00210,7028.35,7707.93,South,Grocery
2023-07-31,ORD-00211,3924.33,14878.26,West,Apparel
2023-08-01,ORD-00212,12207.99,259.31,South,Electronics
2023-08-02,ORD-00213,10713.79,445.38,North,Grocery
2023-08-03,ORD-00214,6197.96,14897.65,West,Electronics
2023-08-04,ORD-00215,9504.04,8852.65,North,Electronics
2023-08-05,ORD-00216,9476.62,2078.27,East,Grocery
2023-08-06,ORD-00217,8523.64,13480.07,West,Electronics
2023-08-07,ORD-00218,9796.87,13229.63,South,Grocery
2023-08-08,ORD-00219,17300.71,8135.77,South,Grocery
2023-08-09,ORD-00220,7773.47,9402.52,West,Grocery
2023-08-10,ORD-00221,23747.02,4243.17,South,Apparel
2023-08-11,ORD-00222,22950.53,947.69,South,Apparel
2023-08-12,ORD-00223,12282.31,8999.6,South,Grocery
2023-08-13,ORD-00224,8544.85,4562.38,South,Electronics
2023-08-14,ORD-00225,13618.15,10021.59,East,Apparel
2023-08-15,ORD-00226,21289.73,12576.43,North,Electronics
2023-08-16,ORD-00227,16488.39,468.78,East,Grocery
2023-08-17,ORD-00228,20207.6,9016.56,South,Grocery
2023-08-18,ORD-00229,13551.7,3622.95,West,Electronics
2023-08-19,ORD-00230,16006.48,13133.55,North,Grocery
2023-08-20,ORD-00231,7559.81,3954.23,South,Electronics
2023-08-21,ORD-00232,18504.88,9239.4,East,Electronics
2023-08-22,ORD-00233,5458.91,8392.4,South,Grocery
2023-08-23,ORD-00234,17522.55,6063.26,North,Electronics
2023-08-24,ORD-00235,21587.62,10228.79,West,Apparel
2023-08-25,ORD-00236,3736.52,10941.39,North,Electronics
2023-08-26,ORD-00237,15552.3,8590.68,South,Grocery
2023-08-27,ORD-00238,2829.85,11424.65,South,Apparel
2023-08-28,ORD-00239,18280.03,14754.57,West,Electronics
2023-08-29,ORD-00240,2570.08,6405.23,West,Apparel
2023-08-30,ORD-00241,23430.53,7815.83,West,Apparel
2023-08-31,ORD-00242,3866.49,384.55,East,Apparel
2023-09-01,ORD-00243,23992.57,11981.22,North,Electronics
2023-09-02,ORD-00244,20121.66,7899.4,South,Apparel
2023-09-03,ORD-00245,15045.21,6237.83,North,Apparel
2023-09-04,ORD-00246,19674.29,1592.27,North,Apparel
2023-09-05,ORD-00247,19980.31,13366.92,North,Electronics
2023-09-06,ORD-00248,23677.66,6046.11,West,Apparel
2023-09-07,ORD-00249,6707.89,10302.21,East,Electronics
2023-09-08,ORD-00250,14956.86,2410.74,East,Grocery
2023-09-09,ORD-00251,2828.71,14430.93,West,Grocery
2023-09-10,ORD-00252,15596.06,2840.94,East,Grocery
2023-09-11,ORD-00253,4696.64,3153.22,North,Grocery
2023-09-12,ORD-00254,14341.29,12912.95,East,Electronics
2023-09-13,ORD-00255,14524.55,13706.22,East,Grocery
2023-09-14,ORD-00256,11916.64,3339.78,North,Apparel
2023-09-15,ORD-00257,13304.48,7153.05,South,Grocery
2023-09-16,ORD-00258,19216.12,11055.72,East,Electronics
2023-09-17,ORD-00259,20081.5,13199.81,South,Apparel
2023-09-18,ORD-00260,12557.75,5809.98,East,Electronics
2023-09-19,ORD-00261,15190.04,7851.89,East,Grocery
2023-09-20,ORD-00262,23315.29,11177.4,South,Grocery
2023-09-21,ORD-00263,3433.47,11020.81,North,Grocery
2023-09-22,ORD-00264,3369.04,11787.81,South,Apparel
2023-09-23,ORD-00265,2648.87,8635.02,North,Grocery
2023-09-24,ORD-00266,16617.65,1748.3,South,Apparel
2023-09-25,ORD-00267,10755.9,13578.8,West,Electronics
2023-09-26,ORD-00268,19470.87,13010.47,South,Apparel
2023-09-27,ORD-00269,16945.17,12011.84,North,Grocery
2023-09-28,ORD-00270,8674.13,1677.96,South,Electronics
2023-09-29,ORD-00271,22509.98,3225.08,West,Electronics
2023-09-30,ORD-00272,19182.04,11205.29,North,Apparel
2023-10-01,ORD-00273,7128.11,542.47,North,Grocery
2023-10-02,ORD-00274,9422.7,14692.52,East,Grocery
2023-10-03,ORD-00275,8203.78,5781.74,North,Electronics
2023-10-04,ORD-00276,4361.49,10845.83,South,Grocery
2023-10-05,ORD-00277,4120.69,13336.05,North,Apparel
2023-10-06,ORD-00278,23435.12,6040.52,North,Electronics
2023-10-07,ORD-00279,11228.65,4923.16,South,Grocery
2023-10-08,ORD-00280,9891.34,9209.37,West,Grocery
2023-10-09,ORD-00281,18377.3,8798.64,North,Apparel
2023-10-10,ORD-00282,14048.33,6255.27,North,Electronics
2023-10-11,ORD-00283,23435.43,9106.27,North,Grocery
2023-10-12,ORD-00284,19617.39,14043.64,West,Apparel
2023-10-13,ORD-00285,12244.55,7121.08,East,Electronics
2023-10-14,ORD-00286,9720.81,3111.78,North,Apparel
2023-10-15,ORD-00287,24672.47,5782.65,South,Apparel
2023-10-16,ORD-00288,18085.13,6032.78,South,Apparel
2023-10-17,ORD-00289,23804.27,2140.41,South,Grocery
2023-10-18,ORD-00290,3402.73,2610.5,North,Apparel
2023-10-19,ORD-00291,21338.08,10331.52,North,Apparel
2023-10-20,ORD-00292,16108.31,5224.27,West,Apparel
2023-10-21,ORD-00293,3487.08,14332.5,South,Grocery
2023-10-22,ORD-00294,14912.32,3805.23,South,Grocery
2023-10-23,ORD-00295,17309.36,1664.08,South,Grocery
2023-10-24,ORD-00296,801.42,11351.87,East,Electronics
2023-10-25,ORD-00297,11630.79,13239.33,West,Apparel
2023-10-26,ORD-00298,20722.29,4316.08,South,Apparel
2023-10-27,ORD-00299,7736.3,3190.9,North,Grocery
2023-10-28,ORD-00300,11734.43,2949.34,East,Electronics
2023-10-29,ORD-00301,11336.7,7925.78,East,Grocery
2023-10-30,ORD-00302,7897.22,7132.57,North,Grocery
2023-10-31,ORD-00303,23001.83,4039.71,East,Grocery
2023-11-01,ORD-00304,19641.7,868.56,West,Apparel
2023-11-02,ORD-00305,3209.42,7326.07,North,Apparel
2023-11-03,ORD-00306,24927.35,14398.12,East,Apparel
2023-11-04,ORD-00307,22040.4,9857.28,North,Apparel
2023-11-05,ORD-00308,7455.76,7533.5,North,Apparel
2023-11-06,ORD-00309,21003.97,1838.24,North,Grocery
2023-11-07,ORD-00310,3107.28,3936.06,South,Grocery
2023-11-08,ORD-00311,24978.07,4562.65,West,Grocery
2023-11-09,ORD-00312,16809.28,11519.09,South,Grocery
2023-11-10,ORD-00313,16428.06,13175.32,North,Apparel
2023-11-11,ORD-00314,2715.8,13544.3,North,Grocery
2023-11-12,ORD-00315,22477.32,14771.62,East,Grocery
2023-11-13,ORD-00316,1210.49,14739.03,East,Electronics
2023-11-14,ORD-00317,6400.29,14304.39,East,Apparel
2023-11-15,ORD-00318,4004.04,1262.97,North,Grocery
2023-11-16,ORD-00319,19530.81,2239.34,East,Grocery
2023-11-17,ORD-00320,5356.0,4706.1,West,Grocery
2023-11-18,ORD-00321,22810.64,8382.89,West,Electronics
2023-11-19,ORD-00322,16578.59,1635.27,North,Grocery
2023-11-20,ORD-00323,1385.99,12717.79,East,Apparel
2023-11-21,ORD-00324,633.03,9327.99,South,Grocery
2023-11-22,ORD-00325,1765.62,8226.99,North,Electronics
2023-11-23,ORD-00326,15345.17,2646.61,North,Grocery
2023-11-24,ORD-00327,20136.3,3948.18,South,Electronics
2023-11-25,ORD-00328,6344.54,2572.62,North,Grocery
2023-11-26,ORD-00329,21310.52,12808.61,South,Grocery
2023-11-27,ORD-00330,1902.18,8846.57,South,Electronics
2023-11-28,ORD-00331,20123.61,11079.92,East,Apparel
2023-11-29,ORD-00332,23230.99,4581.29,North,Electronics
2023-11-30,ORD-00333,19416.66,5694.54,West,Apparel
2023-12-01,ORD-00334,17603.96,6191.85,East,Apparel
2023-12-02,ORD-00335,21030.52,11448.22,East,Electronics
2023-12-03,ORD-00336,1483.71,11630.82,East,Grocery
2023-12-04,ORD-00337,5443.66,3260.84,North,Electronics
2023-12-05,ORD-00338,3560.63,14134.78,East,Electronics
2023-12-06,ORD-00339,12861.01,1985.7,East,Apparel
2023-12-07,ORD-00340,18757.11,13462.61,South,Apparel
2023-12-08,ORD-00341,15935.29,1685.86,South,Electronics
2023-12-09,ORD-00342,21352.71,4115.19,West,Electronics
2023-12-10,ORD-00343,4302.72,12727.88,South,Electronics
2023-12-11,ORD-00344,18498.22,2856.48,South,Grocery
2023-12-12,ORD-00345,5229.52,6320.81,East,Electronics
2023-12-13,ORD-00346,7133.59,6857.92,East,Electronics
2023-12-14,ORD-00347,17892.67,3829.83,South,Grocery
2023-12-15,ORD-00348,24515.02,10711.63,East,Electronics
2023-12-16,ORD-00349,15482.82,12799.75,South,Apparel
2023-12-17,ORD-00350,1835.26,13143.71,East,Apparel
2023-12-18,ORD-00351,15599.57,5221.97,West,Apparel
2023-12-19,ORD-00352,1537.59,8056.59,South,Electronics
2023-12-20,ORD-00353,22161.57,3876.41,North,Apparel
2023-12-21,ORD-00354,17884.67,3822.99,West,Apparel
2023-12-22,ORD-00355,4741.63,2586.56,South,Electronics
2023-12-23,ORD-00356,2747.16,14112.28,North,Apparel
2023-12-24,ORD-00357,4996.56,13342.23,North,Grocery
2023-12-25,ORD-00358,24510.67,11704.91,East,Apparel
2023-12-26,ORD-00359,11734.74,7861.39,North,Grocery
2023-12-27,ORD-00360,19709.98,7461.0,East,Apparel
2023-12-28,ORD-00361,16092.0,8040.24,East,Electronics
2023-12-29,ORD-00362,14524.12,8141.21,North,Grocery
2023-12-30,ORD-00363,4055.69,6631.53,West,Electronics
2023-12-31,ORD-00364,23677.6,2149.97,West,Electronics
2024-01-01,ORD-00365,7882.89,2059.83,South,Electronics
2024-01-02,ORD-00366,14661.42,14293.3,West,Grocery
2024-01-03,ORD-00367,17644.51,7334.06,South,Electronics
2024-01-04,ORD-00368,16406.21,14307.44,South,Apparel
2024-01-05,ORD-00369,23544.56,2620.94,South,Grocery
2024-01-06,ORD-00370,4136.76,8405.36,East,Apparel
2024-01-07,ORD-00371,12954.64,3274.22,West,Apparel
2024-01-08,ORD-00372,10398.84,3947.13,South,Electronics
2024-01-09,ORD-00373,12117.13,644.81,East,Electronics
2024-01-10,ORD-00374,3420.83,1960.51,East,Grocery
2024-01-11,ORD-00375,3785.32,13769.36,East,Grocery
2024-01-12,ORD-00376,7312.85,4958.69,West,Electronics
2024-01-13,ORD-00377,7965.26,9200.31,South,Apparel
2024-01-14,ORD-00378,10983.63,7082.21,East,Grocery
2024-01-15,ORD-00379,15469.19,6126.68,South,Apparel
2024-01-16,ORD-00380,16048.41,8071.91,South,Electronics
2024-01-17,ORD-00381,10589.37,2971.14,South,Apparel
2024-01-18,ORD-00382,10515.19,14831.34,East,Electronics
2024-01-19,ORD-00383,5831.9,12310.96,West,Grocery
2024-01-20,ORD-00384,14913.5,11175.9,South,Grocery
2024-01-21,ORD-00385,8267.5,7137.64,South,Apparel
2024-01-22,ORD-00386,1383.47,2462.58,South,Electronics
2024-01-23,ORD-00387,10750.8,13825.85,West,Electronics
2024-01-24,ORD-00388,12116.25,5252.53,South,Grocery
2024-01-25,ORD-00389,6027.03,941.58,West,Grocery
2024-01-26,ORD-00390,14525.22,5267.57,South,Electronics
2024-01-27,ORD-00391,14361.41,11957.96,South,Electronics
2024-01-28,ORD-00392,17699.05,9416.09,East,Electronics
2024-01-29,ORD-00393,16374.74,11312.41,South,Grocery
2024-01-30,ORD-00394,16484.61,11945.8,North,Grocery
2024-01-31,ORD-00395,8247.25,3336.93,South,Grocery
2024-02-01,ORD-00396,19792.09,13871.99,West,Apparel
2024-02-02,ORD-00397,13954.04,6682.25,North,Electronics
2024-02-03,ORD-00398,11069.75,9657.4,South,Apparel
2024-02-04,ORD-00399,15837.31,234.17,North,Apparel
2024-02-05,ORD-00400,9336.1,14901.85,West,Electronics
2024-02-06,ORD-00401,13062.11,4357.27,West,Electronics
2024-02-07,ORD-00402,18549.29,1118.53,East,Electronics
2024-02-08,ORD-00403,22216.87,6982.28,South,Electronics
2024-02-09,ORD-00404,23065.9,2109.64,East,Grocery
2024-02-10,ORD-00405,12839.01,2454.44,North,Electronics
2024-02-11,ORD-00406,13246.74,9557.79,East,Electronics
2024-02-12,ORD-00407,20096.83,6015.33,West,Grocery
2024-02-13,ORD-00408,8204.04,13843.42,East,Apparel
2024-02-14,ORD-00409,21015.87,4923.52,East,Electronics
2024-02-15,ORD-00410,12606.47,10947.47,West,Apparel
2024-02-16,ORD-00411,3338.49,7024.27,South,Grocery
2024-02-17,ORD-00412,2265.45,9967.28,West,Apparel
2024-02-18,ORD-00413,21128.83,9075.49,East,Electronics
2024-02-19,ORD-00414,1861.41,7197.2,East,Grocery
2024-02-20,ORD-00415,7374.98,14260.9,East,Apparel
2024-02-21,ORD-00416,8686.19,5272.16,North,Electronics
2024-02-22,ORD-00417,4738.36,2823.09,West,Apparel
2024-02-23,ORD-00418,8190.39,10235.79,North,Grocery
2024-02-24,ORD-00419,18695.97,12720.91,West,Grocery
2024-02-25,ORD-00420,859.73,795.76,East,Grocery
2024-02-26,ORD-00421,20765.75,6854.56,North,Grocery
2024-02-27,ORD-00422,21485.43,13408.82,West,Electronics
2024-02-28,ORD-00423,9620.41,11294.36,East,Apparel
2024-02-29,ORD-00424,4263.52,14878.75,East,Grocery
2024-03-01,ORD-00425,15220.59,8064.92,South,Apparel
2024-03-02,ORD-00426,3431.98,9967.94,North,Grocery
2024-03-03,ORD-00427,9440.52,4676.71,East,Grocery
2024-03-04,ORD-00428,23981.51,14223.53,East,Grocery
2024-03-05,ORD-00429,24888.88,5621.77,West,Apparel
2024-03-06,ORD-00430,19416.57,11129.96,East,Apparel
2024-03-07,ORD-00431,8118.56,6166.48,North,Apparel
2024-03-08,ORD-00432,17347.79,8514.92,West,Grocery
2024-03-09,ORD-00433,17782.46,10852.78,North,Apparel
2024-03-10,ORD-00434,10002.12,7732.23,East,Grocery
2024-03-11,ORD-00435,16201.77,13624.88,West,Grocery
2024-03-12,ORD-00436,762.83,6405.65,East,Apparel
2024-03-13,ORD-00437,5621.91,9776.66,West,Electronics
2024-03-14,ORD-00438,13364.66,5266.96,North,Apparel
2024-03-15,ORD-00439,4511.91,6240.72,North,Electronics
2024-03-16,ORD-00440,4564.72,6712.74,South,Grocery
2024-03-17,ORD-00441,20989.46,2061.94,West,Grocery
2024-03-18,ORD-00442,24733.76,1557.51,North,Grocery
2024-03-19,ORD-00443,14121.25,10078.85,East,Grocery
2024-03-20,ORD-00444,21057.21,9901.66,North,Grocery
2024-03-21,ORD-00445,24762.88,10011.06,South,Grocery
2024-03-22,ORD-00446,3969.1,492.54,North,Grocery
2024-03-23,ORD-00447,11482.02,5032.89,South,Grocery
2024-03-24,ORD-00448,10118.03,3127.59,South,Apparel
2024-03-25,ORD-00449,2461.21,11716.64,North,Grocery
2024-03-26,ORD-00450,19005.59,12937.33,West,Grocery
